ApplNo,ProductNo,Form,Dosage,ProductMktStatus,TECode,ReferenceDrug,drugname,activeingred
4,4,SOLUTION/DROPS;OPHTHALMIC,1%,3,,0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE
159,1,TABLET;ORAL,500MG,3,,0,SULFAPYRIDINE,SULFAPYRIDINE
552,1,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
552,2,INJECTABLE;INJECTION,"40,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
552,3,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
552,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
552,5,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
552,7,INJECTABLE;INJECTION,100 UNITS/ML,3,,0,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM
552,8,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
552,9,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
552,10,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
552,11,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
552,12,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
552,13,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
734,1,INJECTABLE;INJECTION,EQ 1MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
734,2,INJECTABLE;INJECTION,EQ 0.2MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
734,3,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
793,2,TABLET;ORAL,15MG,3,,0,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,3,TABLET;ORAL,50MG,3,,0,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,4,TABLET;ORAL,30MG,1,,1,BUTISOL SODIUM,BUTABARBITAL SODIUM
793,5,TABLET;ORAL,100MG,3,,0,BUTISOL SODIUM,BUTABARBITAL SODIUM
1104,1,INJECTABLE;INJECTION,5MG/ML,3,,0,DOCA,DESOXYCORTICOSTERONE ACETATE
1546,1,TABLET;ORAL,125MG,1,,0,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE
2139,3,TABLET;ORAL,5MG,3,,0,MENADIONE,MENADIONE
2245,2,TABLET;ORAL,65MG,3,,0,PROLOID,THYROGLOBULIN
2245,4,TABLET;ORAL,325MG,3,,0,PROLOID,THYROGLOBULIN
2245,5,TABLET;ORAL,32MG,3,,0,PROLOID,THYROGLOBULIN
2245,7,TABLET;ORAL,200MG,3,,0,PROLOID,THYROGLOBULIN
2245,8,TABLET;ORAL,100MG,3,,0,PROLOID,THYROGLOBULIN
2245,9,TABLET;ORAL,16MG,3,,0,PROLOID,THYROGLOBULIN
2245,10,TABLET;ORAL,130MG,3,,0,PROLOID,THYROGLOBULIN
2282,1,INJECTABLE;INJECTION,100MG/ML,3,,0,INULIN AND SODIUM CHLORIDE,INULIN
2386,2,TABLET;ORAL,100MG,3,,0,AMINOPHYLLIN,AMINOPHYLLINE
2386,3,TABLET;ORAL,200MG,3,,0,AMINOPHYLLIN,AMINOPHYLLINE
2918,1,POWDER;TOPICAL,33.32%,3,,0,BENSULFOID,SULFUR
3158,1,TABLET;ORAL,10MG,3,,0,ORETON METHYL,METHYLTESTOSTERONE
3158,2,TABLET;ORAL,25MG,3,,0,ORETON METHYL,METHYLTESTOSTERONE
3240,1,"TABLET;BUCCAL, SUBLINGUAL",10MG,3,,0,METANDREN,METHYLTESTOSTERONE
3240,3,"TABLET;BUCCAL, SUBLINGUAL",25MG,3,,0,METANDREN,METHYLTESTOSTERONE
3240,4,"TABLET;BUCCAL, SUBLINGUAL",5MG,3,,0,METANDREN,METHYLTESTOSTERONE
3240,5,"TABLET;BUCCAL, SUBLINGUAL",10MG,3,,0,METANDREN,METHYLTESTOSTERONE
3402,1,INJECTABLE;INJECTION,5PRESSOR UNITS/ML,3,,0,PITRESSIN TANNATE,VASOPRESSIN TANNATE
3444,1,CAPSULE;ORAL,"50,000 IU",1,AA,1,DRISDOL,ERGOCALCIFEROL
3718,4,INJECTABLE;INJECTION,5MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,6,INJECTABLE;INJECTION,10MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,8,INJECTABLE;INJECTION,37.5MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3718,10,TABLET;ORAL,5MG,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
3977,1,INJECTABLE;INJECTION,1MG/ML,3,,0,THEELIN,ESTRONE
3977,2,INJECTABLE;INJECTION,2MG/ML,3,,0,THEELIN,ESTRONE
3977,3,INJECTABLE;INJECTION,5MG/ML,3,,0,THEELIN,ESTRONE
4039,2,"TABLET, DELAYED RELEASE;ORAL",0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
4039,3,"TABLET, DELAYED RELEASE;ORAL",0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
