ApplNo,ApplType,SponsorApplicant,MostRecentLabelAvailableFlag,CurrentPatentFlag,ActionType,Chemical_Type,Ther_Potential,Orphan_Code
4,N    ,PHARMICS                                          ,FALSE,FALSE,AP,,,
159,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
552,N    ,ORGANON USA INC                                   ,FALSE,FALSE,AP,,,
734,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
793,N    ,MEDA PHARMS                                       ,FALSE,FALSE,AP,,,
1104,N    ,ORGANON USA INC                                   ,FALSE,FALSE,AP,,,
1546,N    ,MERCK SHARP DOHME                                 ,FALSE,FALSE,AP,,,
2139,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
2245,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,,,
2282,N    ,ISO TEX                                           ,FALSE,FALSE,AP,4,S,
2386,N    ,GD SEARLE LLC                                     ,FALSE,FALSE,AP,5,S,
2918,N    ,POYTHRESS                                         ,FALSE,FALSE,AP,,,
3158,N    ,SCHERING                                          ,FALSE,FALSE,AP,,,
3240,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,,,
3402,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,,,
3444,N    ,US PHARM HOLDINGS                                 ,FALSE,FALSE,AP,,,
3718,N    ,ROCHE                                             ,FALSE,FALSE,AP,,,
3977,N    ,PARKEDALE                                         ,FALSE,FALSE,AP,,,
4039,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
4040,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
4041,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
4054,N    ,LEDERLE                                           ,FALSE,FALSE,AP,,,
4056,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,,,
4122,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
4125,N    ,ABBVIE                                            ,FALSE,FALSE,AP,,,
4570,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,,,
4589,N    ,B BRAUN                                           ,FALSE,FALSE,AP,,,
4782,N    ,WYETH PHARMS INC                                  ,FALSE,FALSE,AP,1,S,
5010,N    ,US PHARM HOLDINGS                                 ,FALSE,FALSE,AP,1,S,
5151,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,,,
5213,N    ,ENDO PHARMS                                       ,FALSE,FALSE,AP,1,S,
5264,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,5,S,
5292,N    ,SCHERING                                          ,FALSE,FALSE,AP,,,
5319,N    ,ALCON                                             ,FALSE,FALSE,AP,,,
5378,N    ,RECORDATI RARE                                    ,FALSE,FALSE,AP,,,
5490,N    ,ORGANON USA INC                                   ,FALSE,FALSE,AP,,,
5509,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
5521,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
5545,N    ,ABBVIE                                            ,FALSE,FALSE,AP,,,
5619,N    ,MERCK                                             ,FALSE,FALSE,AP,,,
5620,N    ,MERCK                                             ,FALSE,FALSE,AP,,,
5657,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,1,P,
5691,N    ,MEDPOINTE PHARM HLC                               ,FALSE,FALSE,AP,,,
5725,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
5794,N    ,ORTHO MCNEIL PHARM                                ,FALSE,FALSE,AP,,,
5795,N    ,SHIRE                                             ,FALSE,FALSE,AP,3,S,
5845,N    ,MCNEIL CONS                                       ,FALSE,FALSE,AP,1,S,
5856,N    ,ABBVIE                                            ,FALSE,FALSE,AP,,,
5897,N    ,WYETH PHARMS INC                                  ,FALSE,FALSE,AP,,,
5914,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,S,
5929,N    ,VALEANT                                           ,FALSE,FALSE,AP,,,
5932,N    ,ABBVIE                                            ,FALSE,FALSE,AP,5,S,
5939,N    ,AKORN                                             ,FALSE,FALSE,AP,,,
5963,N    ,SCHERING                                          ,FALSE,FALSE,AP,,,
5970,N    ,ELKINS SINN                                       ,FALSE,FALSE,AP,1,P,V
6002,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,,,
6008,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,,,
6012,N    ,LEDERLE                                           ,FALSE,FALSE,AP,,,
6035,N    ,EDISON THERAPS LLC                                ,FALSE,FALSE,AP,,,
6044,N    ,ABBVIE                                            ,FALSE,FALSE,AP,,,
6071,N    ,ROCHE                                             ,FALSE,FALSE,AP,,,
6095,N    ,HOSPIRA                                           ,FALSE,FALSE,AP,5,S,
6110,N    ,ORTHO MCNEIL PHARM                                ,FALSE,FALSE,AP,,,
6134,N    ,ROXANE                                            ,FALSE,FALSE,AP,,,
6135,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
6146,N    ,MCNEIL CONS                                       ,FALSE,FALSE,AP,3,S,
6170,N    ,B BRAUN                                           ,FALSE,FALSE,AP,5,S,
6188,N    ,DAVA PHARMS INC                                   ,FALSE,FALSE,AP,,,
6203,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,1,P,
6213,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
6270,N    ,ARBROOK                                           ,FALSE,FALSE,AP,,,
6309,N    ,REED AND CARNRICK                                 ,FALSE,FALSE,AP,,,
6317,N    ,LILLY                                             ,FALSE,FALSE,AP,,,
6325,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
6327,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,P,
6328,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,,,
6333,N    ,CENT PHARMS                                       ,FALSE,FALSE,AP,,,
6343,N    ,BAXTER HLTHCARE                                   ,FALSE,FALSE,AP,5,S,
6383,N    ,MALLINCKRODT                                      ,FALSE,FALSE,AP,,,
6403,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,,,
6412,N    ,SANOFI AVENTIS US                                 ,FALSE,FALSE,AP,1,S,
6441,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,,,
6459,N    ,LEDERLE                                           ,FALSE,FALSE,AP,,,
6460,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
6470,N    ,LILLY                                             ,FALSE,FALSE,AP,5,S,
6488,N    ,FRESENIUS KABI USA                                ,FALSE,FALSE,AP,,,
6514,N    ,PARKE DAVIS                                       ,FALSE,FALSE,AP,3,S,
6525,N    ,ROCHE                                             ,FALSE,FALSE,AP,,,
6530,N    ,MEDA PHARMS                                       ,FALSE,FALSE,AP,,,
6536,N    ,ODYSSEY PHARMS                                    ,FALSE,FALSE,AP,,,
6580,N    ,MCGAW                                             ,FALSE,FALSE,AP,5,S,
6620,N    ,NOVARTIS                                          ,FALSE,FALSE,AP,,,
6632,N    ,LILLY                                             ,FALSE,FALSE,AP,1,S,
6668,N    ,MERCK                                             ,FALSE,FALSE,AP,,,
6695,N    ,RECORDATI RARE                                    ,FALSE,FALSE,AP,1,P,
6772,N    ,GLAXOSMITHKLINE                                   ,FALSE,FALSE,AP,,,
6773,N    ,LEDERLE                                           ,FALSE,FALSE,AP,,,
6798,N    ,PHARMACIA AND UPJOHN                              ,FALSE,FALSE,AP,,,
6799,N    ,BRISTOL MYERS SQUIBB                              ,FALSE,FALSE,AP,5,S,
6800,N    ,ABBVIE                                            ,FALSE,FALSE,AP,,,
6811,N    ,PANRAY                                            ,FALSE,FALSE,AP,,,
